"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Soothsalts","EGW","152","none","Adventuring Gear","","","","","","150 GP","Soothsalts are derived from a naturally occurring crystalline substance discovered throughout the wilds of the Miskath Strand. The crimson crystals have been mined from cavernous veins like those in the mouth of the Miskath Pit and found within smaller geode formations near sites ravaged by the Calamity. Soothsalts are consumed orally in lozenge-sized doses, and frequent users can be identified by the telltale crimson stain around their mouths. A creature subjected to a dose of soothsalts gains advantage on all Intelligence checks for 1d4 hours.For each dose of soothsalts consumed, the creature must succeed on a DC 15 Constitution saving throw or gain one level of exhaustion—an effect which is cumulative with multiple doses."
"Space Galleon","AAG","46","none","Vehicle (Space)","","Speed: 4 mphCarrying Capacity: 20 tons cargoCrew 20, AC 15, HP 400, Damage Threshold 15","","","","30,000 GP","The space galleon is a mainstay among the host of vessels that ply Wildspace and the Astral Sea. Space galleons can easily pass for ordinary seafaring galleons. Because they can land on water and move across it like their namesakes, they can sail into ports on terrestrial worlds without attracting undue attention. Like an ordinary galleon, a space galleon isn't built to land on the ground (its keel would cause it to roll on its side). The ship's standard weaponry includes two forward-mounted ballistae and an aft-mounted mangonel."
"Spaceship Trinket","QftIS","161","none","Adventuring Gear, Futuristic","","","","","","","The Spaceship Trinkets table below offers a selection of trinkets appropriate for adventures with sci-fi themes. The adventure includes encounters that ask you to roll on the table to determine what random trinkets the characters find in certain locations on the spaceship. None of the trinkets requires an energy cell.Spaceship Trinketsd100Trinket01-02Disembodied robot arm with a mind of its own03-04Wearable blanket with sleeves and a hood05-06Small, rectangular device that can record and play back audio of up to 1 minute in length07-08Glow-in-the-dark ink pen09-10Fashionable jumpsuit11-12Compact scanner that reports whether an object is recyclable in a cheery tone13-14Wristwatch programmed to beep at a specific time15-16Handheld cylinder that produces a 15-foot cone of bright light for up to 1 hour every 24 hours17-18Colorful toy ray gun with lights and sounds19-20Bottle of fizzy, sweet-tasting liquid21-22Map of an unexplored star system23-24Motorized toothbrush that might have been used25-26Tiny robot that shines boots and shoes27-28Pressurized red canister with a flexible hose that, when squeezed as an action, sprays a 15-foot cone of foam. The foam extinguishes all nonmagical flames in the cone. The canister can perform this action only once.29-30Loaf of space bread covered in blue-green mold31-32Handheld screen that plays a children's story about a friendly, three-eyed frog named Swampy33-34Compact device that displays the current weather35-36Empty metal bottle that maintains the temperature of liquids stored in it for 1d4 hours37-38Tiny disc that emits a high-pitched noise in the presence of smoke or mild cooking fumes39-40Aerosolized can of metal polish41-42Identification badge of a deceased crew member43-44Depleted energy cell45-46Pocket-sized instrument that clicks rapidly within 10 feet of radiation (see the ""Spaceship Features"" section later in this adventure)47-48Vacuum-sealed package of shriveled frankfurters49-50Tin hat that telepathically broadcasts the wearer's surface thoughts to creatures within 10 feet of it51-52Chalky moon rock53-54Collar that, when placed on a Medium or smaller Beast, translates its cries into Common55-56Bottle of expired medicine for treating dizziness57-58Tiny speaker that plays a catchy tune in an unknown language59-60Handheld tool for removing bolts and screws61-62Cautionary pamphlet about the dangers of space63-64Miniature flying saucer65-66Tiny, animatronic bunny that hops after the creature that activates it67-68Stick of deodorant with a surprising scent69-70Countertop appliance that can transform any fruit into a pulpy juice71-72Glass pendant filled with stardust73-74Pot containing an artificially dwarfed tree75-76Otherworldly insect preserved in amber77-78Syringe filled with a viscous, yellow serum79-80Tiny brass orrery81-82Log of passenger names83-84Gas mask with a hole in it85-86Small glass terrarium with an empty cocoon87-88Dongle that never plugs in correctly on the first try89-90Holster fashioned from an unknown reptile's hide91-92Severed bundle of important-looking wires93-94Prosthetic limb with magnetic attachments95-96Set of polyhedral dice that buzz and flash when they land on their highest result97-98Musical instrument that plays electronic tones99-00Trading card of a beloved fictional hero from a far-off world"
"Spear","PHB'14","149","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Piercing","thrown (20/60 ft.), versatile (1d8)","","3 lb.","1 GP","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Spear","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Piercing","Thrown (20/60 ft.), Versatile (1d8)","Mastery: Sap","3 lb.","1 GP","Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Spellbook","PHB'14","153","none","Adventuring Gear","","","","","3 lb.","50 GP","Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"Spiked Armor","SCAG","121","unknown","Medium Armor","","AC 14 + Dex (max 2)","","","45 lb.","75 GP","Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal.The wearer has Disadvantage on Dexterity (Stealth) checks."
"Spiked Barding","PHB'14","157","none","Tack and Harness (Spiked Armor)","","AC 14 + Dex (max 2)","","","90 lb.","300 GP","The base item can be found in Sword Coast Adventurer’s Guide, page 121.Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal."
"Spinel","DMG'14","134","none","Treasure (Gemstone)","","","","","","100 GP","A transparent red, red-brown, or deep green gemstone."
"Spinel","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A red, red brown, or deep green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Spinosaurus","ToB1'23","103","none","Mount","","","","","","2,000 GP","Before it can be ridden in combat, a spinosaurus dinosaur must practice bearing the weight of its trainer and passengers. They rarely master more than a handful of tricks, but they are extremely comfortable in the water and can be trained to be are aware that some of their riders may not breathe water.An adult spinosaurus can carry up to six tons as cargo. Riding a spinosaurus requires an exotic saddle, riding platform, or howdah."
"Splint Armor","PHB'14","145","none","Heavy Armor","","AC 17","","","60 lb.","200 GP","This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Splint Armor","PHB'24","219","none","Heavy Armor","","AC 17","","","60 lb.","200 GP","The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Splint Barding","PHB'14","157","none","Tack and Harness (Splint Armor)","","AC 17","","","120 lb.","800 GP","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much."
"Sprig of Mistletoe","PHB'14","151","none","Spellcasting Focus","","","","","","1 GP","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus."
"Sprig of Mistletoe","PHB'24","225","none","Spellcasting Focus","","","","","","1 GP","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus."
"Spyglass","PHB'14","153","none","Adventuring Gear","","","","","1 lb.","1,000 GP","Objects viewed through a spyglass are magnified to twice their size."
"Spyglass","PHB'24","229","none","Adventuring Gear","","","","","1 lb.","1,000 GP","Objects viewed through a Spyglass are magnified to twice their size."
"Squid Ship","AAG","48","none","Vehicle (Space)","","Speed: 3½ mphCarrying Capacity: 20 tons cargoCrew 13, AC 15, HP 300, Damage Threshold 15","","","","25,000 GP","Among the oldest types of spelljamming vessels, squid ships are popular with privateers and are often used as patrol ships. Standard weapons on a squid ship include a forward-mounted mangonel, two aft-mounted ballistae, and a reinforced bow for ramming. The tentacles that extend from the bow account for nearly half the ship's keel length.Squid ships can float and sail on water, and they can land on the ground."
"Stabling (per day)","PHB'14","157","none","Tack and Harness","","","","","","5 SP",""
"Stabling (per day)","PHB'24","230","none","Tack and Harness","","","","","","5 CP",""
"Staff","PHB'14","151","none","Staff, Weapon, Spellcasting Focus, Simple Weapon, Melee Weapon","","1d6 Bludgeoning","versatile (1d8)","","4 lb.","5 GP","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Staff","TLotRR","73","none","Staff, Weapon, Simple Weapon, Melee Weapon","","1d4 Bludgeoning","versatile (1d6)","","2 lb.","2 C","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Staff","PHB'24","224","none","Staff, Weapon, Spellcasting Focus, Simple Weapon, Melee Weapon","","1d6 Bludgeoning","versatile (1d8)","Mastery: Topple","4 lb.","5 GP","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Star Moth","AAG","50","none","Vehicle (Space)","","Speed: 5½ mphCarrying Capacity: 30 tons cargoCrew 13, AC 13, HP 400, Damage Threshold 15","","","","40,000 GP","Star moths are ships constructed and flown by astral elves, who don't like it when these ships end up in the hands of others.A star moth's hull is fashioned from a grown and sculpted organic substance, and its enormous, decorative wings are made of shimmering crystal. The vessel is built for space travel, but its design does enable it to float on water or land safely on the ground. Standard weaponry includes two ballistae nestled in the star moth's eye holes and a mangonel mounted above the bridge."
"Star Ruby","DMG'14","134","none","Treasure (Gemstone)","","","","","","1,000 GP","A translucent ruby with white star-shaped center gemstone."
"Star Ruby","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A ruby with white star-shaped center gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Star Sapphire","DMG'14","134","none","Treasure (Gemstone)","","","","","","1,000 GP","A translucent blue sapphire with white star-shaped center gemstone."
"Star Sapphire","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A blue sapphire with white star-shaped center gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Star rose quartz","DMG'14","134","none","Treasure (Gemstone)","","","","","","50 GP","A translucent rosy stone with white star-shaped center gemstone."
"Star rose quartz","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A rosy stone with white star-shaped center gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Steel Mirror","PHB'14","150","none","Adventuring Gear","","","","","½ lb.","5 GP",""
"Steppe Rations","HWT","158","none","Adventuring Gear","","","","","½ lb.","25 GP","These small rations are made of smoked plants, dried berries, ground nuts, and honey, baked into a chewy bar. Though not sufficiently filling for a day of travel, a bar will stave off hunger for 2 hours. These rations are spiced in such a way that they warm you from the inside out. When you eat a bar, you gain resistance to cold damage for 1 hour. You can only benefit from this effect for 1 hour per day."
"Stink Bomb","TDCSR","100","none","Explosive","","","range 30 ft.","","","25 GP","This smelly explosive can be primed and thrown up to 30 feet as an action. It explodes at the start of your next turn. Creatures within 20 feet of it must make a DC 12 Constitution saving throw or be poisoned for 1 minute. A creature can repeat this save at the end of each of its turns, ending the effect on itself on a success."
"Stitching Needle","GH:PG'24","127","none","Advanced Equipment","","","","","0.8 oz.","250 GP","This black iron needle easily pierces the skin. If a creature's mouth is sewn shut with a Stitching Needle, it loses the ability to speak and cast spells with verbal components. The creature gains the ability to communicate with Telepathy out to a range of 60 feet.Stitching the mouth of a willing, Unconscious, or Incapacitated creature takes 10 minutes. Removing the stitches takes 1 minute. Advanced Equipment[–] The brilliant engineers and crafters who designed and built Etharis's highly advanced weapons and ammunition did not stop there. Other inventions of war—and of peace—became invaluable to the soldiers, guards, and adventurers of Etharis.Some pieces of Advanced equipment, such as the corrupting Shadowsteel Focus, need special training to fully employ. Other items, like the Retractable Shield, are usable by anyone proficient with shields. And many other pieces of equipment are usable by anyone—though few would be able to afford and maintain these mechanical, alchemical, or even magical marvels.As they are expensive and difficult to make, access to Advanced equipment is limited—maybe even as limited as some magic items. The largest cities, or locations housing master crafters, may only have a few items of Advanced equipment."
"String","PHB'24","229","none","Adventuring Gear","","","","","","1 SP","String is 10 feet long. You can tie a knot in it as a Utilize action."
"Studded Leather Armor","PHB'14","144","none","Light Armor","","AC 12 + Dex","","","13 lb.","45 GP","Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
"Studded Leather Armor","PHB'24","219","none","Light Armor","","AC 12 + Dex","","","13 lb.","45 GP",""
"Studded Leather Barding","PHB'14","157","none","Tack and Harness (Studded Leather Armor)","","AC 12 + Dex","","","26 lb.","180 GP","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much."
"Submachine Gun","GC:VSS'24","undefined","none","Weapon, Martial Weapon, Ranged Weapon, Firearm","","2d4 Piercing","Ammunition (Range 20/60 ft.; Bullet), Firearm, Light, Modern Era, Reload (16 shots)","Mastery: Automatic","6 lb.","250 GP","Firing lighter, easier to control rounds, the Submachine Gun is an effective alternative to larger automatic weapons. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Firearm. You don't add your ability modifier to the weapon's damage, unless otherwise stated. Firearm ammunition is destroyed upon use. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Mastery: Automatic. When you make an attack with this weapon, you can choose to make two attacks instead. These attacks are always made with Disadvantage, regardless of circumstance. You can't replace these attacks. If this weapon has Ammunition, these attacks use twice the normal amount of ammunition."
"Summer Smoke Ring Festival Pipe","TLotRR","189","unknown","Tool","","","","","½ lb.","1 G","An elegantly crafted pipe inlaid with silver accents and a pearl stem. The pipe is worth 1 gold piece and grants advantage on ability checks using it.Pipes are made of clay or wood and used for inhaling the smoke of burning leaves of pipe-weed. A character that has proficiency with a pipe practises the art of smoking and likely has some skill at blowing smoke-rings. Smoking a pipe can aid you in efforts at introspection, and in friendly chatting with fellow practitioners of the art.If you are proficient with pipes, you can spend one use of pipe-weed and at least one hour smoking your pipe to gain inspiration. You cannot use a pipe again in this way until you finish a long rest.See the Tool Proficiencies entry for more information."
"Sun","WDH","169","none","Treasure (Coinage)","","","","","","10 GP","Platinum coin, twice as large as a nib (1 sun = 1,000 nibs)"
"Sun amulet on a beaded chain (Sun Empire)","PSX","24","none","Treasure (Art Object)","","","","","","25 GP",""
"Survival Mantle","VGM","81","unknown","Medium Armor","","AC 15 + Dex (max 2)","","","40 lb.","","This carapace-like augmentation encases portions of the wearer's shoulders, neck, and chest. A survival mantle is equivalent to a suit of nonmagical half plate armor and takes just as long to don or doff. It can't be worn with other kinds of armor.A creature wearing a survival mantle can breathe normally in any environment (including a vacuum) and has advantage on saving throws against harmful gases (such as those created by a cloudkill spell, a stinking cloud spell, inhaled poisons, and the breath weapons of some dragons).The wearer has Disadvantage on Dexterity (Stealth) checks."
"Sword","TLotRR","73","none","Weapon, Martial Weapon, Melee Weapon","","1d6 Slashing","finesse, versatile (1d8)","","2 lb.","1 G, 5 S","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Tangler Grenade","WDMM","244","none","Other","","","","","","","A tangler grenade is an alchemical, nonmagical item with an ovoid resin shell that shatters on impact. An as action, a creature can throw a tangler grenade at a point up to 60 feet away. Each creature within 10 feet of a shattered tangler grenade must succeed on a DC 15 Dexterity saving throw or be restrained by sticky white webs. As an action, a creature can try to free itself or another creature within its reach from the webs, doing so with a successful DC 20 Strength (Athletics) check. A gallon of alcohol dissolves the webs produced by a single tangler grenade. Otherwise, the webs dissolve on their own after 1 hour, freeing any creatures restrained by them."
"Tankard","PHB'14","153","none","Adventuring Gear","","","","","1 lb.","2 CP","A tankard holds 1 pint of liquid."
"Tantan","SCAG","124","none","Instrument","","","","","","","A tambourine, a popular instrument with halflings and humans south of the Dalelands.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Taol","WDH","169","none","Treasure (Coinage)","","","","","","2 GP","Brass coin, about two inches square with a hold large enough for a nib to fit in (1 taol = 200 nibs)"
"Tea","HWT","153","none","Luxury Good","","","","","1 lb.","5 GP","High-quality tea leaves, dried and ready to brew."
"Tej","ToA","32","none","Food and Drink","","","","","5 lb.","","Tej is an amber-colored, fermented drink made from honey. It's more common and popular in Chult than beer or ale. A mug of tej costs 4 cp in Port Nyanzaru or 6 cp in Fort Beluarian. A 1-gallon cask costs 2 sp in the city or 3 sp at the fort."
"Tent","PHB'24","229","none","Adventuring Gear","","","","","20 lb.","2 GP","A Tent sleeps up to two Small or Medium creatures."
"The Incantations of Iriolarthas","IDRotF","317","unknown","Adventuring Gear","","","","","3 lb.","","The Incantations of Iriolarthas is a weighty spellbook. Its black leather covers have dead, toothy worms glued to them, sheathed in glossy varnish. Set into this morbid display on the front cover is a gold rune that resembles a stylized eye with a pupil shaped like a candle flame—the sigil of Iriolarthas, a Netherese lich.The book contains sixty pages of brittle yellow vellum. Written on these pages are the following wizard spells:1st level: alarm, detect magic, identify, magic missile, shield, Tasha's hideous laughter, thunderwave2nd level: arcane lock, continual flame, invisibility, knock, levitate, Melf's acid arrow, mirror image3rd level: animate dead, bestow curse, clairvoyance, counterspell, dispel magic, fireball, glyph of warding4th level: arcane eye, banishment, blight, dimension door, Evard's black tentacles, phantasmal killer5th level: Bigby's hand, cloudkill, dominate person, planar binding, scrying, telekinesis6th level: create undead, disintegrate, globe of invulnerability, move earth, Otto's irresistible dance7th level: create magen, finger of death, prismatic spray, teleport8th level: demiplane, dominate monster, mind blank, power word stun9th level: blade of disaster, power word kill"
"Theki Root","EGW","70","none","Adventuring Gear","","","","","","3 GP","This thick marsh root tastes bitter but is thought to aid digestive health. When you use an action to consume a dose, you gain advantage on saving throws against the effects of poisonous or toxic substances for 8 hours."
"Thelarr","SCAG","124","none","Instrument","","","","","","","Also known as a whistlecane, a simple and easy-to-make wind instrument cut from a reed. They are so simple, in fact, that skilled bards frequently make and give them away to children—to the parents' delight or regret.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Thessaltoxin","IMR","93","none","Poison (Ingested or Injury)","","","","","","","This poison was first created using blood harvested from the artificer Thessalar. A creature subjected to the poison must succeed on a DC 15 Constitution saving throw or take on a new form as if affected by the polymorph spell. The creature's new form is a random beast or a creature it has seen within the last 24 hours (as chosen by the DM). This transformation lasts until the end of the target's next long rest. This effect is not subject to dispel magic or remove curse, but a greater restoration spell restores the creature to its original form."
"Thieves' Tools","PHB'14","154","none","Tool","","","","","1 lb.","25 GP","This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.Perhaps the most common tools used by adventurers, thieves' tools are designed for picking locks and foiling traps. Proficiency with the tools also grants you a general knowledge of traps and locks. Components. Thieves' tools include a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. History. Your knowledge of traps grants you insight when answering questions about locations that are renowned for their traps. Investigation and Perception. You gain additional insight when looking for traps, because you have learned a variety of common signs that betray their presence. Set a Trap. Just as you can disable traps, you can also set them. As part of a short rest, you can create a trap using items you have on hand. The total of your check becomes the DC for someone else's attempt to discover or disable the trap. The trap deals damage appropriate to the materials used in crafting it (such as poison or a weapon) or damage equal to half the total of your check, whichever the DM deems appropriate.Thieves' ToolsActivityDCPick a lockVariesDisable a trapVariesSee the Tool Proficiencies entry for more information."
"Thieves' Tools","PHB'24","221","none","Tool","","","","","1 lb.","25 GP","Ability: DexterityUtilize: Pick a lock (DC 15), or disarm a trap (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Three-Dragon Ante Set","PHB'14","154","none","Gaming Set","","","","","","1 GP","If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Three-Dragon Ante Set","PHB'24","221","none","Gaming Set","","","","","","1 GP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Tiger Eye","DMG'14","134","none","Treasure (Gemstone)","","","","","","10 GP","A translucent brown with golden center gemstone."
"Tiger Eye","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A brown with golden center gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Tinderbox","PHB'14","153","none","Adventuring Gear","","","","","1 lb.","5 SP","This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch—or anything else with abundant, exposed fuel—takes an action. Lighting any other fire takes 1 minute."
"Tinderbox","PHB'24","229","none","Adventuring Gear","","","","","1 lb.","5 SP","A Tinderbox is a small container holding flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a Candle, Lamp, Lantern, or Torch—or anything else with exposed fuel—takes a Bonus Action. Lighting any other fire takes 1 minute."
"Tinker's Tools","PHB'14","154","none","Artisan's Tools","","","","","10 lb.","50 GP","These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.A set of tinker's tools is designed to enable you to repair many mundane objects. Though you can't manufacture much with tinker's tools, you can mend torn clothes, sharpen a worn sword, and patch a tattered suit of chain mail. Components. Tinker's tools include a variety of hand tools, thread, needles, a whetstone, scraps of cloth and leather, and a small pot of glue. History. You can determine the age and origin of objects, even if you have only a few pieces remaining from the original. Investigation. When you inspect a damaged object, you gain knowledge of how it was damaged and how long ago. Repair. You can restore 10 hit points to a damaged object for each hour of work. For any object, you need access to the raw materials required to repair it. For metal objects, you need access to an open flame hot enough to make the metal pliable.Tinker's ToolsActivityDCTemporarily repair a disabled device10Repair an item in half the time15Improvise a temporary item using scraps20See the Tool Proficiencies entry for more information."
"Tinker's Tools","PHB'24","221","none","Artisan's Tools","","","","","10 lb.","50 GP","Ability: DexterityUtilize: Assemble a Tiny item composed of scrap, which falls apart in 1 minute (DC 20)Craft: Musket, Pistol, Bell, Bullseye Lantern, Flask, Hooded Lantern, Hunting Trap, Lock, Manacles, Mirror, Shovel, Signal Whistle, TinderboxArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Tiny jade figurine (River Heralds)","PSX","24","none","Treasure (Art Object)","","","","","","25 GP",""
"Tocken","SCAG","124","none","Instrument","","","","","","","A hanging set of carved oval bells, usually played with a pair of light wooden hammers (or open handed). They are most common in underground cultures, where the resonant tones can carry.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Tome of Strahd","CoS","221","none","Adventuring Gear","","","","","5 lb.","","The Tome of Strahd is an ancient work penned by Strahd, a tragic tale of how he came to his fallen state. The book is bound in a thick leather cover with steel hinges and fastenings. The pages are of parchment and very brittle. Most of the book is written in the curious shorthand that only Strahd employs. Stains and age have made most of the work illegible, but several paragraphs remain intact."
"Topaz","DMG'14","134","none","Treasure (Gemstone)","","","","","","500 GP","A transparent golden yellow gemstone."
"Topaz","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A golden yellow gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
